NãoTerminais/Terminais,$,const,par_left,par_right,comma,colon,semicolon,block_left,block_right,bracket_left,bracket_right,false,true,num,char,float,string,ar_op,log_op,as_op,rel_op,id,type,for,foreach,out,in,if,else
assign',,,expression   semicolon,,,,semicolon,,,,,expression   semicolon,expression   semicolon,expression   semicolon,expression   semicolon,expression   semicolon,,,expression   semicolon,,,expression   semicolon,,,,,,,
assign,,,,,,,,,,,,,,,,,,,,,,id    as_op   assign',,,,,,,
assignment''',,,,,,,,block_left  list   block_right semicolon,,,,,,,,,string   semicolon,,,,,,,,,,,,
assignment'',,,,,,,semicolon,,,,,,,,,,,,,as_op    assignment''',,,,,,,,,
assignment',,,,,,,semicolon,,,bracket_left  num   bracket_right  assignment'',,,,,,,,,,as_op    expression   semicolon,,,,,,,,,
assignment,,const  type    id    assignment'  ,,,,,,,,,,,,,,,,,,,,assign   ,type    id    assignment'  ,,,,,,
boolean,,,,,,,,,,,,false,true,,,,,,,,,,,,,,,,
else',,,,,,,,block_left statementList block_right,,,,,,,,,,,,,,,,,,,,if if' if'',
_else,ϵ,ϵ,,,,ϵ,ϵ,,ϵ,,,,,,,,,,,,,ϵ,ϵ,ϵ,ϵ,ϵ,ϵ,ϵ,else  else'    
expression,,,par_left  expression' ,,,,,,,,,value expression'',value expression'',value expression'',value expression'',value expression'',,,log_op  expression,,,value expression''  ,,,,,,,
 expression'  ,,,,,,,,,,,,expression par_right ,expression par_right ,expression par_right ,expression par_right ,expression par_right ,,,expression par_right ,,,expression par_right ,type   par_right    expression,,,,,,
expression'',,,,ϵ,,,ϵ,ϵ,,,,,,,,,,op expression,op expression,,op expression,,,,,,,,
_for,,,,,,,,,,,,,,,,,,,,,,,,for  assignment   semicolon  expression   semicolon   assign,,,,,
_forEach,,,,,,,,,,,,,,,,,,,,,,,,,foreach  assignment   colon  id    ,,,,
if',,,expression  scope,,,,,,,,,expression  scope,expression  scope,expression  scope,expression  scope,expression  scope,,,expression  scope,,,expression  scope,,,,,,,
_if,,,,,,,,,,,,,,,,,,,,,,,,,,,,if  if'   if''  ,
_in,,,,,,,,,,,,,,,,,,,,,,,,,,,in id   semicolon,,
io,,,,,,,,,,,,,,,,,,,,,,,,,,_out,_in,,
list',,,,,comma  list,,,,ϵ,,,,,,,,,,,,,,,,,,,,
list,,,,,,,,,,,,boolean   list'  ,boolean   list'  ,num   list'  ,char   list',float   list',,,,,,,,,,,,,
loop,,,,,,,,,,,,,,,,,,,,,,,,_for,_foreach,,,,
op,,,,,,,,,,,,,,,,,,ar_op,log_op,,rel_op,,,,,,,,
_out,,,,,,,,,,,,,,,,,,,,,,,,,,out expression   semicolon,,,
program,,statementList,,,,,,,,,,,,,,,,,,,,statementList,statementList,statementList,statementList,statementList,statementList,statementList,
scope,,,,,,,,block_left  statementList   block_right,,,,,,,,,,,,,,,,,,,,,
statement,,assignment,,,,,,,,,,,,,,,,,,,,assignment,assignment,loop,loop,io   ,io   ,_if  ,
statementList',ϵ,statement    statementList',,,,,,,ϵ,,,,,,,,,,,,,statement    statementList',statement    statementList',statement    statementList',statement    statementList',statement    statementList',statement    statementList',statement    statementList',
statementList,,statement    statementList',,,,,,,,,,,,,,,,,,,,statement    statementList',statement    statementList',statement    statementList',statement    statementList',statement    statementList',statement    statementList',statement    statementList',
value,,,,,,,,,,,,boolean  ,boolean  ,num,char,float,,,,,,id,,,,,,,
